planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
HD 42012 b,1,Radial Velocity,2017,Published Confirmed,0,857.5,1.67,,508.528,1.6,36.7984
HD 4203 b,1,Radial Velocity,2001,Published Confirmed,0,431.88,1.17,,708.7609,2.23,81.3795
HD 4203 c,1,Radial Velocity,2014,Published Confirmed,0,6700.0,6.95,,689.66,2.17,81.3795
HD 4208 b,1,Radial Velocity,2001,Published Confirmed,0,832.97,1.662,,257.4423,0.81,34.1937
HD 42618 b,1,Radial Velocity,2016,Published Confirmed,0,149.61,0.554,,14.4,0.04530724,24.3358
HD 4308 b,1,Radial Velocity,2005,Published Confirmed,0,15.56,0.12,,15.8915,0.05,22.0158
HD 4313 b,1,Radial Velocity,2009,Published Confirmed,0,356.21,1.157,,612.45841,1.927,136.308
HD 43197 b,1,Radial Velocity,2010,Published Confirmed,0,308.92072,0.882,,175.75910907,0.553,62.4112
HD 43197 c,1,Radial Velocity,2022,Published Confirmed,0,9295.9735,8.54,,2500.67390628,7.868,62.4112
HD 43691 b,1,Radial Velocity,2007,Published Confirmed,0,36.9987,0.238,,810.4665,2.55,85.6009
HD 44219 b,1,Radial Velocity,2010,Published Confirmed,0,472.0,1.26,,184.34047606,0.58,52.9051
HD 45184 b,1,Radial Velocity,2019,Published Confirmed,0,5.8854,0.0644,,12.19,0.0384,21.9532
HD 45184 c,1,Radial Velocity,2019,Published Confirmed,0,13.1354,0.11,,8.81,0.0277,21.9532
HD 45350 b,1,Radial Velocity,2004,Published Confirmed,0,963.6,1.92,,568.89,1.79,46.8733
HD 45364 b,1,Radial Velocity,2008,Published Confirmed,0,225.79,0.6793,,60.16491745,0.1893,34.354
HD 45364 c,1,Radial Velocity,2008,Published Confirmed,0,345.43,0.902,,174.48779544,0.549,34.354
HD 45652 b,1,Radial Velocity,2008,Published Confirmed,0,44.073,0.237,,137.62039,0.433,34.8541
HD 457 b,1,Radial Velocity,2022,Published Confirmed,0,20324.58153,15.369,,8445.3364308,26.572,55.0375
HD 46375 b,1,Radial Velocity,2000,Published Confirmed,0,3.023573,0.0398,,71.8,0.226,29.5529
HD 47186 b,1,Radial Velocity,2008,Published Confirmed,0,4.0845,0.05,,22.2481,0.07,37.4574
HD 47186 c,1,Radial Velocity,2008,Published Confirmed,0,1353.6,2.395,,111.42,0.35061,37.4574
HD 4732 b,1,Radial Velocity,2012,Published Confirmed,0,371.74,1.129,,631.2072163,1.986,54.7841
HD 4732 c,1,Radial Velocity,2012,Published Confirmed,0,3184.2,4.725,,1069.49258955,3.365,54.7841
HD 47366 b,1,Radial Velocity,2016,Published Confirmed,0,360.08,1.207,,661.71874337,2.082,84.3552
HD 47366 c,1,Radial Velocity,2016,Published Confirmed,0,677.53,1.84,,483.73483545,1.522,84.3552
HD 47536 b,1,Radial Velocity,2002,Published Confirmed,0,712.13,1.93,,2330.0,7.32,122.536
HD 4760 b,1,Radial Velocity,2021,Published Confirmed,0,434.0,1.14,,4417.837,13.9,537.873
HD 48265 b,1,Radial Velocity,2008,Published Confirmed,0,778.51,1.814,,484.69075,1.525,90.5446
HD 48265 c,1,Radial Velocity,2026,Published Confirmed,0,10418.0,10.4,,1414.33641115,4.45,90.5446
HD 48948 b,1,Radial Velocity,2024,Published Confirmed,0,7.34013,0.0652,,4.88,0.0153542,16.9043
HD 48948 c,1,Radial Velocity,2024,Published Confirmed,0,38.06,0.1951,,7.27,0.02287398,16.9043
HD 48948 d,1,Radial Velocity,2024,Published Confirmed,0,151.92,0.4894,,10.59,0.03331987,16.9043
HD 4917 b,1,Radial Velocity,2018,Published Confirmed,0,400.5,1.167,,513.29545,1.615,204.277
HD 49674 b,1,Radial Velocity,2002,Published Confirmed,0,4.94737,0.06,,31.783,0.1,43.0399
HD 50499 b,1,Radial Velocity,2005,Published Confirmed,0,2447.1,3.833,,519.96988,1.636,46.2845
HD 50499 c,1,Radial Velocity,2019,Published Confirmed,0,8619.9,9.02,,931.2419,2.93,46.2845
HD 50554 b,1,Radial Velocity,2002,Published Confirmed,0,1293.0,2.353,,1574.464,4.954,31.1664
HD 51608 b,1,Radial Velocity,2019,Published Confirmed,0,14.0726,0.1059,,12.77,0.0402,35.0553
HD 51608 c,1,Radial Velocity,2019,Published Confirmed,0,95.9446,0.3809,,14.31,0.045,35.0553
HD 52265 b,1,Radial Velocity,2000,Published Confirmed,0,119.27,0.52,,384.5743,1.21,29.9803
HD 5278 b,1,Transit,2021,Published Confirmed,0,14.339156,0.1202,2.45,7.8,0.02454154,57.5846
HD 5278 c,1,Radial Velocity,2021,Published Confirmed,0,40.87,0.2416,,18.4,0.05789287,57.5846
HD 5319 b,1,Radial Velocity,2007,Published Confirmed,0,637.1,1.57,,494.54348,1.556,121.405
HD 5319 c,1,Radial Velocity,2014,Published Confirmed,0,872.2,1.93,,334.67499,1.053,121.405
HD 5388 b,1,Radial Velocity,2010,Published Confirmed,1,772.5,1.757,,1017.0509024,3.2,53.0661
HD 55696 b,1,Radial Velocity,2018,Published Confirmed,0,1827.0,3.18,,1230.0021,3.87,77.9693
HD 5583 b,1,Radial Velocity,2016,Published Confirmed,0,139.35,0.53,,1837.0574,5.78,219.216
HD 5608 b,1,Radial Velocity,2012,Published Confirmed,0,768.7,1.79,,371.22357938,1.168,58.1105
HD 564 b,1,Radial Velocity,2014,Published Confirmed,0,492.3,1.2,,104.88,0.33,51.1659
HD 56414 b,1,Transit,2022,Published Confirmed,0,29.04992,0.229,3.71,,,272.217
HD 56957 b,1,Radial Velocity,2022,Published Confirmed,0,5859.08992,6.426,,1880.90851263,5.918,61.4925
HD 5891 b,1,Radial Velocity,2011,Published Confirmed,0,177.11,0.64,,2425.0429,7.63,283.502
HD 59686 A b,1,Radial Velocity,2016,Published Confirmed,0,299.36,1.086,,2199.3836,6.92,89.2721
HD 60292 b,1,Radial Velocity,2020,Published Confirmed,0,495.4,1.5,,2065.895,6.5,315.211
HD 60532 b,1,Radial Velocity,2008,Published Confirmed,0,201.9,0.77,,336.8998,1.06,25.9716
HD 60532 c,1,Radial Velocity,2008,Published Confirmed,0,600.1,1.6,,797.7533,2.51,25.9716
HD 6061 b,1,Transit,2023,Published Confirmed,0,5.2549,0.06,2.42763557,10.0,0.03146352,67.6203
HD 60779 b,1,Transit,2026,Published Confirmed,0,29.986175,0.1922,3.246,14.19,0.04464673,35.4445
HD 60779 c,1,Radial Velocity,2026,Published Confirmed,0,104.79,,,28.3,0.08904176,35.4445
HD 62364 b,1,Radial Velocity,2022,Published Confirmed,0,5138.0,6.15,,5965.63919939,18.77,53.112
HD 62364 c,1,Radial Velocity,2022,Published Confirmed,1,74839.94555,36.984,,7923.46218651,24.93,53.112
HD 62509 b,1,Radial Velocity,2006,Published Confirmed,0,589.64,1.64,,731.0,2.3,
HD 62549 b,1,Radial Velocity,2022,Published Confirmed,0,14306.88519,11.842,,2707.58019923,8.519,49.3305
HD 63433 b,1,Transit,2020,Published Confirmed,0,7.1079475,,2.14,21.755,0.06844888,22.4035
HD 63433 c,1,Transit,2020,Published Confirmed,0,20.5438281,,2.692,15.539,0.04889116,22.4035
HD 63433 d,1,Transit,2023,Published Confirmed,0,4.209075,0.0503,1.073,,,22.4035
HD 63454 b,1,Radial Velocity,2005,Published Confirmed,0,2.81805,0.04,,79.4575,0.25,37.6894
HD 63765 b,1,Radial Velocity,2011,Published Confirmed,0,358.0,0.94,,168.4499,0.53,32.5376
HD 63935 b,1,Transit,2021,Published Confirmed,0,9.058807,0.083,2.91575244,10.5,0.03303669,48.9739
HD 63935 c,1,Radial Velocity,2021,Published Confirmed,0,21.4027,0.148,3.06451296,11.1,0.03492451,48.9739
HD 64114 b,1,Radial Velocity,2019,Published Confirmed,0,45.791,0.246,,17.8,0.05600478,31.5262
HD 64121 b,1,Radial Velocity,2022,Published Confirmed,0,623.0,1.51,,813.64072192,2.56,129.966
HD 6434 b,1,Radial Velocity,2003,Published Confirmed,0,21.998,0.14,,155.7367,0.49,42.358
HD 65216 b,1,Radial Velocity,2003,Published Confirmed,0,577.6,1.301,,411.58985,1.295,35.1205
HD 65216 c,1,Radial Velocity,2013,Published Confirmed,0,5370.0,5.75,,645.1949,2.03,35.1205
